cell_id,batch,cycle_life,log_var_dQ,min_dQ,slope_capacity_fade,resistance_cycle2,avg_charge_time_c1_5,discharge_capacity_c2,batch_indicator
cell_000,1,647,-0.17950143249597836,-0.061926331225700654,-0.06861804487696033,0.017397404540794456,15.384477047631462,1.087905243458838,0
cell_001,1,456,-0.2836530744852906,-0.10266311075581919,-0.054414555705891585,0.021387184861270364,12.900863648649295,1.1046193440501755,0
cell_002,1,703,-0.30871026338689894,-0.14402184548617028,-0.04603724173945496,0.01550827136713209,15.856189901906195,1.1071314275428243,0
cell_003,1,1138,-0.5268986587648982,-0.1810209842440309,-0.08914175808627366,0.015183645743554623,15.83457393368288,1.089555433869157,0
cell_004,1,433,-0.10979467475064818,-0.09305045980300441,-0.03288260724481186,0.021362896418993953,13.144962917632263,1.09098253697161,0
cell_005,1,433,-0.1281042021361055,-0.12339054254079103,-0.008653382332828656,0.021617665841823577,12.378044754196026,1.0952255360863383,0
cell_006,1,1174,-0.4888745336181857,-0.16726746188772645,-0.07854106631488894,0.012,19.315064193866483,1.107607809269365,0
cell_007,1,751,-0.19708518720044077,-0.08321621052038158,-0.06576082174004307,0.015982527671285024,14.420728355561714,1.0868618971503456,0
cell_008,1,380,-0.13916813675312834,-0.08536544075550069,-0.02824963801004972,0.022854366498072046,13.91950283781686,1.1021353407715733,0
cell_009,1,664,-0.2535725466590365,-0.04807492500231145,-0.045734989783524915,0.016645684887167438,13.71366125290833,1.098104724152432,0
cell_010,1,381,-0.15122702282606806,-0.07429998517723725,-0.02538143563139683,0.021044342174686256,12.634809422897392,1.0724715277531414,0
cell_011,1,381,-0.16907119616536168,-0.07002803617029583,-0.029268593838046947,0.018698522442576023,14.164771388776773,1.0914731737972885,0
cell_012,1,562,-0.26740859489609065,-0.11282824682163417,-0.04608686922331001,0.017094059404338755,15.346681040522425,1.0968478452636823,0
cell_013,1,172,0.026444099454022173,-0.03902593843895291,-0.03642504051935637,0.021404349920169756,13.632552900812989,1.0885778595091222,0
cell_014,1,190,-0.02529618509551617,0.042781944719641626,-0.008636642339602497,0.0253711312803612,14.381002645239803,1.090313912513058,0
cell_015,1,361,-0.15157153957122765,-0.07055092338520198,-0.04247237821806358,0.020916362786519985,13.076954678256344,1.0880387413938633,0
cell_016,1,282,0.08647268533388071,-0.13985795577775245,-0.014266097144382298,0.018954568257620697,12.70210220131585,1.0965295059696738,0
cell_017,1,585,-0.19960759847236298,-0.15253234333787918,-0.05952955563889953,0.02050919549786935,13.829450052424296,1.0938645858958198,0
cell_018,1,299,-0.10100425280769489,-0.10542801042817451,0.006239161339879886,0.023277838044636023,10.45728612001359,1.0878445431476944,0
cell_019,1,226,-0.13204291718147104,-0.05154699995611328,-0.031967811076490514,0.022510527117066206,13.887480918470684,1.0931775519417013,0
cell_020,1,1103,-0.4820737125644621,-0.19239503707522848,-0.09736417966741436,0.012663341534852577,20.163181360421646,1.1061098171096095,0
cell_021,1,435,-0.2531207163468036,-0.07466414158835673,-0.004967657044810508,0.022714930521102294,11.895945051068981,1.0838576592713376,0
cell_022,1,511,-0.0774971080650702,-0.13255008396856344,-0.03622270857780658,0.021439268106858676,13.164604292632875,1.089624746439382,0
cell_023,1,225,-0.3380513872055258,-0.1077316292400287,-0.023788522270897408,0.020254433636070303,15.573616955897453,1.0701985862203938,0
cell_024,1,365,-0.1629535589357587,-0.08987778268141726,-0.009580900664008274,0.01847827569764112,15.56974562823244,1.087402330610196,0
cell_025,1,523,-0.2615706920838361,-0.09889689577210188,-0.04085410456639795,0.018569566245682415,14.719703127485028,1.0866068640313824,0
cell_026,1,261,-0.08226861237990016,-0.06145607976436861,0.0009102522421802779,0.0199143690023463,16.5045500619844,1.0656991220047751,0
cell_027,1,605,-0.22389280760284666,-0.10495048380546271,-0.046185121983974516,0.017704600960358814,14.712816624464088,1.0871699906534118,0
cell_028,1,354,-0.17104918055553692,-0.06699193708936926,-0.02496476771052429,0.020074180809478693,15.119399813149876,1.090152995208766,0
cell_029,1,419,-0.08162103049288319,-0.08139113474229163,-0.04795492516383108,0.019689637919606064,15.215940407684894,1.0944837026543348,0
cell_030,1,353,-0.12522212751713185,-0.08884017850073654,-0.01107502656317363,0.02028685722232834,14.585646071755058,1.0850380734756613,0
cell_031,1,1200,-0.43741449625817763,-0.16103669444038432,-0.08561875476517955,0.014627019272001279,19.958218210731495,1.1042100384163276,0
cell_032,1,489,-0.11659376229640289,-0.11798800269780368,-0.036257504712673375,0.019849713891264633,14.590493947489078,1.095731570254369,0
cell_033,1,275,-0.1617076546586778,-0.020228381729436196,-0.03909026072249554,0.01982162277442454,15.112166310250101,1.0934166269396295,0
cell_034,1,774,-0.22097041463582756,-0.12402963472207161,-0.06410370159270372,0.015465491257028337,15.98370683729059,1.088708382884879,0
cell_035,1,251,-0.009840421326579904,-0.08453172144506416,-0.034462457951887675,0.021847228316694015,13.874397181413435,1.0793827544719603,0
cell_036,1,552,-0.2589776316453145,-0.10892938365524264,-0.04248550143336916,0.01846611364925774,14.053442541572515,1.0933604993735764,0
cell_037,1,167,-0.17429674731978595,-0.11226391323129666,-0.026136663318786543,0.022903105696576307,13.301361348397007,1.0980935621694954,0
cell_038,1,237,-0.014337230143838448,-0.08323815589890282,-0.021245243118540334,0.02062494127072438,13.157230296011416,1.0818534136107987,0
cell_039,1,549,-0.16633251517295283,-0.1406969283065697,-0.03812980228638242,0.022575477826005157,14.581859777314715,1.0949971172209896,0
cell_040,1,739,-0.203438480663111,-0.1507166141565751,-0.057758612772843755,0.01763518480156359,15.841514147823247,1.0870499021614455,0
cell_041,2,743,-0.2580891860592846,-0.12422005126263651,-0.03967284588307438,0.019488541652170416,18.944773686267332,1.0871865243711196,1
cell_042,2,616,-0.14581434906234575,-0.11841973982784945,-0.018432956001734925,0.0172234034292897,13.820417236728836,1.08632607354556,1
cell_043,2,546,-0.3610116579447845,-0.13129265065042284,-0.05706698992330547,0.019840787572952417,15.242633963665739,1.109681708392159,1
cell_044,2,254,-0.012866092945115967,-0.0977871096698721,-0.03579622007022537,0.023443838343013012,11.289650189469036,1.1033945876585436,1
cell_045,2,416,-0.05124479034229705,-0.11399526956314114,-0.06097701793636316,0.023547744748330827,13.908190232121074,1.1006981631197348,1
cell_046,2,493,-0.30010421270354937,-0.1271412506886132,-0.04136134450422726,0.020163961187529486,13.789901792781134,1.096088499323475,1
cell_047,2,1322,-0.5481096343506076,-0.2129113845506388,-0.10595556552432153,0.012808877668117499,19.677422317133335,1.0951935790816214,1
cell_048,2,831,-0.4135791336588498,-0.11138969534304474,-0.06349528982030614,0.015193026926886895,18.481727963283785,1.0977767463429287,1
cell_049,2,211,0.02049377472510612,-0.07329444555769674,0.012031218873229802,0.02640068168488641,12.681553777281389,1.0939357095095434,1
cell_050,2,821,-0.2357199240331882,-0.10746105327402955,-0.08215385190870157,0.018162102919996877,17.692636730274383,1.078832605135769,1
cell_051,2,517,-0.275610681013262,-0.173216965332803,-0.04740110251666837,0.021265084511591925,16.838535578144043,1.0910809478041978,1
cell_052,2,428,-0.019510756354296638,-0.14276304374644674,-0.06179073659032732,0.020608904602206764,14.716098173408962,1.088233052519059,1
cell_053,2,989,-0.5115453680031902,-0.17135360118538367,-0.10068704250757281,0.01644934509766008,17.494897369145274,1.0903812021367265,1
cell_054,2,1300,-0.4961093533869355,-0.23777640565666852,-0.10694018645909759,0.013910284641002479,17.021410930496685,1.1110404651551786,1
cell_055,2,1218,-0.46872060946979527,-0.21994618496787033,-0.10104545539931838,0.012,17.25952604197923,1.0923812210741115,1
cell_056,2,385,0.022428010633311124,-0.09514209344084815,-0.04329588261988879,0.021577959821468446,13.756507925463756,1.085490304004668,1
cell_057,2,544,-0.14126666399652596,-0.09255476869858086,-0.053477517214157916,0.01840836351871064,14.307422454272535,1.0678607883526443,1
cell_058,2,824,-0.4096152849758842,-0.10787377197666426,-0.04324548429748075,0.016261927920887244,16.984835444583652,1.0995925015454355,1
cell_059,2,1254,-0.192589535323581,-0.16689275265696268,-0.10423876387221151,0.012,15.86033051961364,1.1071146363586724,1
cell_060,2,487,-0.23095805962274427,-0.1511076112879302,-0.050658593263637905,0.017966903992771212,16.965712452608848,1.0985563975694947,1
cell_061,2,589,-0.2067878113053294,-0.07628167583329923,-0.04795947538528573,0.017387431597343475,17.229686115904485,1.0971691004368465,1
cell_062,2,324,-0.19637969234611652,-0.09459016034250825,-0.04105427380077136,0.01899440053807133,15.009266321297464,1.1055741664047014,1
cell_063,2,305,-0.2186354059055313,-0.06971092289928288,-0.03615963853682741,0.020975749232470607,12.636409113641697,1.0774600923032018,1
cell_064,2,1127,-0.3905682697644139,-0.21016850349233113,-0.08810314761330243,0.013629523781101728,17.276577929700384,1.0934643633795842,1
cell_065,2,1606,-0.6082417064454667,-0.2200582632252273,-0.1229662421856343,0.012,20.17899845814384,1.119633871233718,1
cell_066,2,634,-0.35545242248970976,-0.10977919422860197,-0.0626593563841877,0.01980119733718632,14.025111265186224,1.074631178993355,1
cell_067,2,1277,-0.577153395030653,-0.20179745160015855,-0.10026416247417778,0.012,19.34288868816606,1.0889247993773103,1
cell_068,2,841,-0.2996363838917853,-0.1872504859928737,-0.07905754161703239,0.01668479734263283,14.91437995207407,1.0929744445577019,1
cell_069,2,437,-0.07244657526284476,-0.11974675608569446,-0.02442461831902288,0.018370586290684766,14.979706266872924,1.103155686206579,1
cell_070,2,841,-0.49208156001018316,-0.17482685766411432,-0.06062391809229191,0.016183909227914014,16.761718810056962,1.0907801481328419,1
cell_071,2,1807,-0.6255228170021679,-0.2715103170617624,-0.1290432690751029,0.012,21.5414039931128,1.1120212303387755,1
cell_072,2,649,-0.2661584979257995,-0.14085674563458864,-0.04800321786432555,0.017668031038359476,15.67966228534462,1.1137340079864544,1
cell_073,2,1839,-0.5739600237254645,-0.28046070596503525,-0.13110179116754084,0.012,18.13781319723322,1.106699136890826,1
cell_074,2,200,-0.21966335368206846,-0.08454540452123926,-0.017723724312156727,0.026352874624550566,13.490391060646244,1.0818089947119114,1
cell_075,2,1134,-0.33054755350532083,-0.2524140592702366,-0.08918578162837153,0.015201730387773936,15.452120631330239,1.1141175404320693,1
cell_076,2,703,-0.21897028740044686,-0.14681863741702406,-0.04874827200840574,0.022511385715608793,15.787799382587743,1.0965422058630034,1
cell_077,2,547,-0.22819887196321953,-0.14113533108394377,-0.03330496275183632,0.017817832348182266,14.842349355829088,1.086163425532349,1
cell_078,2,706,-0.20878161394028863,-0.12471013684139155,-0.04291690083613152,0.01691996720229051,15.125187597059943,1.0843323628421768,1
cell_079,2,200,-0.10554346080608892,-0.06268098520865444,-0.006645170750319722,0.02115566935164475,14.30440888015849,1.0975563785880496,1
cell_080,2,576,-0.16852520774210394,-0.06281612562325803,-0.059686837986553595,0.016750690593377165,12.211919626643581,1.1064804431148918,1
cell_081,2,838,-0.2409507474916754,-0.15222754012731365,-0.0648404706052027,0.01436902190540325,19.858627969425243,1.0980522118197524,1
cell_082,2,1738,-0.5995484164316085,-0.23678700128303926,-0.13382486152394932,0.012,19.50428831683203,1.11947468357136,1
cell_083,2,474,-0.015338040281997284,-0.06651739861535066,-0.01602220060040905,0.01923756864713763,12.88559276961213,1.0882221307990034,1
cell_084,2,393,-0.13309200701690443,-0.06433425444587154,-0.0588269694457223,0.02412910063892123,13.727988152131516,1.083591189300526,1
cell_085,2,480,-0.2489683500208134,-0.15724570015597306,-0.02805244124057129,0.02034663593437681,12.46505865038842,1.076649212279364,1
cell_086,2,1205,-0.44861277594321025,-0.14452935424131824,-0.10229387027045408,0.012,17.65638540387108,1.1013727643025233,1
cell_087,2,823,-0.5038009314353257,-0.15038884599553437,-0.07130401795313018,0.018162412729626837,18.88843414241802,1.1077256502954775,1
cell_088,2,471,-0.18636109524438643,-0.1397157772622501,-0.001079602951252102,0.02040843686802898,14.375893937869419,1.0891787491289,1
cell_089,2,928,-0.3089532191385716,-0.16569081235771826,-0.08484493010320354,0.014626282117519217,16.590870094676003,1.0931257522886624,1
cell_090,2,708,-0.30482766261417316,-0.13176709316924312,-0.06246465826131283,0.02092798597716538,11.56354528741048,1.1050750685192245,1
cell_091,2,1248,-0.3371131846001897,-0.26196170697224447,-0.10698031391120524,0.012,16.12873245792327,1.0971818331240915,1
cell_092,2,421,-0.2361960676372663,-0.04795188669729133,-0.021644824102788084,0.02333311018998832,15.187508096064853,1.077129482287828,1
cell_093,2,537,-0.2299116213023819,-0.09975876316316246,-0.06329191713337919,0.02105599686034478,14.324511902762797,1.086991791924504,1
cell_094,2,515,-0.12337320254372067,-0.09847210065541881,-0.0486144924872862,0.022168659606728494,12.953405008600154,1.0964593560694427,1
cell_095,2,256,-0.0421518993625293,-0.09000639317941972,-0.017588004666368232,0.019937772847229397,14.66604052881035,1.08327097863557,1
cell_096,2,806,-0.32391784164152315,-0.11524972322489332,-0.0770451553581414,0.014123077407272883,13.695056239714145,1.1021800995134563,1
